gene_id,attributes,logFC,AveExpr,t,P.Value,adj.P.Val,B
PF3D7_0316300,Name=PPase;description=inorganic pyrophosphatase%2C putative;ebi_biotype=protein_coding,-1.870219786,9.65195988,-29.27411012,1.42E-05,0.030566539,4.235899729
PF3D7_0109100,Name=CCp5;description=LCCL domain-containing protein;ebi_biotype=protein_coding,2.892556441,6.758018546,26.3859488,1.44E-05,0.030566539,3.197346065
PF3D7_1452100,Name=LRR3;description=leucine-rich repeat protein;ebi_biotype=protein_coding,2.438402256,6.457932287,21.64399855,2.86E-05,0.030566539,2.825815391
PF3D7_1218400,description=triose or hexose phosphate/phosphate translocator%2C putative;ebi_biotype=protein_coding,2.306025524,6.678404645,21.02657488,3.93E-05,0.030566539,2.734613028
PF3D7_0932000,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,2.13145877,6.491301068,19.47551411,4.45E-05,0.030566539,2.645533194
PF3D7_0404800,description=sporozoite-specific protein S10%2C putative;ebi_biotype=protein_coding,1.666357014,7.979519024,21.26375067,4.50E-05,0.030566539,3.087878404
PF3D7_1222700,Name=GAP45;description=glideosome-associated protein 45;ebi_biotype=protein_coding,-1.157906396,9.731556199,-20.94861141,4.86E-05,0.030566539,3.164027745
PF3D7_0828900,description=conserved protein%2C unknown function;ebi_biotype=protein_coding,-1.085445934,8.745658283,-18.3355578,5.46E-05,0.030566539,2.995588885
PF3D7_0822600,Name=SEC23;description=protein transport protein SEC23;ebi_biotype=protein_coding,-1.902827381,8.050675628,-20.28001059,5.61E-05,0.030566539,2.873824213
PF3D7_0930200,Name=LRR8;description=leucine-rich repeat protein;ebi_biotype=protein_coding,-1.455497618,10.2026316,-19.09253374,7.03E-05,0.030566539,2.786820325
PF3D7_0918000,Name=GAP50;description=glideosome-associated protein 50;ebi_biotype=protein_coding,-0.842800757,10.45329665,-17.87618057,8.35E-05,0.030566539,2.572527043
PF3D7_1226300,Name=HAD2;description=haloacid dehalogenase-like hydrolase%2C putative;ebi_biotype=protein_coding,-1.064057462,7.993463289,-15.93971505,9.47E-05,0.030566539,2.443191891
PF3D7_0503400,Name=ADF1;description=actin-depolymerizing factor 1;ebi_biotype=protein_coding,-0.744376285,11.7500262,-17.39136829,9.94E-05,0.030566539,2.285438671
PF3D7_1037600,Name=XPB;description=TFIIH basal transcription factor complex helicase XPB subunit%2C putative;ebi_biotype=protein_coding,1.490394836,7.306743144,16.71204531,0.000103218,0.030566539,2.309078562
PF3D7_0204600,description=5'-3' exonuclease%2C putative;ebi_biotype=protein_coding,1.971771841,6.556592379,16.91419624,0.000105712,0.030566539,2.072314679
PF3D7_0618000,description=conserved Plasmodium membrane protein%2C unknown function;ebi_biotype=protein_coding,-1.524011332,8.429456945,-17.0698309,0.000106578,0.030566539,2.37364275
PF3D7_1359600,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,-0.823524963,9.10154643,-15.43651618,0.00010739,0.030566539,2.312993744
PF3D7_0809250,Name=C4AP5;description=respiratory chain complex 4 associated protein 5;ebi_biotype=protein_coding,-0.921410866,8.878449465,-15.60266639,0.000111589,0.030566539,2.296189053
PF3D7_0831700,Name=HSP70x;description=heat shock protein 70;ebi_biotype=protein_coding,1.659011917,8.64868339,16.76729173,0.000113903,0.030566539,2.319161185
PF3D7_1307800,Name=CEP170;description=centrosomal protein CEP170%2C putative;ebi_biotype=protein_coding,2.143047827,6.621552041,16.55100544,0.000119532,0.030566539,1.987445976
PF3D7_1125700,description=kelch domain-containing protein%2C putative;ebi_biotype=protein_coding,-0.966042198,9.135216873,-16.09305585,0.00012376,0.030566539,2.217730656
PF3D7_1228400,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,1.662890394,6.166515103,14.64279025,0.000132054,0.030566539,1.86206737
